product_id,url,name,brand,sku,mpn,gtin13,price,price_currency,availability,condition,shipping_cost,image_url,category_name,subcategory_slug,subcategory_id,subcategory_name,description
47341,https://autopart.tn/fiche/courroie-trapezoidale-a-nervures-305/topran-301/205-742-47341.html,Courroie TOPRAN 205 742,TOPRAN,47341,205 742,,56.500,TND,En Stock,https://schema.org/NewCondition,8.000,https://autopart.tn/pieces/301/205%20742_1.webp,Courroie; tendeur et chaine,courroie-trapezoidale-a-nervures,305,,Courroie TOPRAN référence 205 742 — . Pièce de qualité livrée partout en Tunisie.
48029,https://autopart.tn/fiche/courroie-trapezoidale-a-nervures-305/gates-33/5pk700-48029.html,Courroie GATES 5PK700,GATES,48029,5PK700,,17.600,TND,En Stock,https://schema.org/NewCondition,8.000,https://autopart.tn/pieces/33/5PK700_1.webp,Courroie; tendeur et chaine,courroie-trapezoidale-a-nervures,305,,Courroie GATES référence 5PK700 — . Pièce de qualité livrée partout en Tunisie.
48019,https://autopart.tn/fiche/courroie-trapezoidale-a-nervures-305/gates-33/6pk995-48019.html,Courroie GATES 6PK995,GATES,48019,6PK995,,43.600,TND,En Stock,https://schema.org/NewCondition,8.000,https://autopart.tn/pieces/33/6PK995_1.webp,Courroie; tendeur et chaine,courroie-trapezoidale-a-nervures,305,,Courroie GATES référence 6PK995 — . Pièce de qualité livrée partout en Tunisie.
48030,https://autopart.tn/fiche/courroie-trapezoidale-a-nervures-305/gates-33/4pk813-48030.html,Courroie GATES 4PK813,GATES,48030,4PK813,,37.200,TND,En Stock,https://schema.org/NewCondition,8.000,https://autopart.tn/pieces/33/4PK813_1.webp,Courroie; tendeur et chaine,courroie-trapezoidale-a-nervures,305,,Courroie GATES référence 4PK813 — . Pièce de qualité livrée partout en Tunisie.
48050,https://autopart.tn/fiche/courroie-trapezoidale-a-nervures-305/gates-33/6pk1255-48050.html,Courroie GATES 6PK1255,GATES,48050,6PK1255,,38.600,TND,En Stock,https://schema.org/NewCondition,8.000,https://autopart.tn/pieces/33/6PK1255_1.webp,Courroie; tendeur et chaine,courroie-trapezoidale-a-nervures,305,,Courroie GATES référence 6PK1255 — . Pièce de qualité livrée partout en Tunisie.
48049,https://autopart.tn/fiche/courroie-trapezoidale-a-nervures-305/gates-33/6pk1513-48049.html,Courroie GATES 6PK1513,GATES,48049,6PK1513,,68.100,TND,En Stock,https://schema.org/NewCondition,8.000,https://autopart.tn/pieces/33/6PK1513_1.webp,Courroie; tendeur et chaine,courroie-trapezoidale-a-nervures,305,,Courroie GATES référence 6PK1513 — . Pièce de qualité livrée partout en Tunisie.
48042,https://autopart.tn/fiche/courroie-trapezoidale-a-nervures-305/gates-33/3pk675-48042.html,Courroie GATES 3PK675,GATES,48042,3PK675,,12.800,TND,En Stock,https://schema.org/NewCondition,8.000,https://autopart.tn/pieces/33/3PK675_1.webp,Courroie; tendeur et chaine,courroie-trapezoidale-a-nervures,305,,Courroie GATES référence 3PK675 — . Pièce de qualité livrée partout en Tunisie.
48052,https://autopart.tn/fiche/courroie-trapezoidale-a-nervures-305/gates-33/6pk1235-48052.html,Courroie GATES 6PK1235,GATES,48052,6PK1235,,55.500,TND,En Stock,https://schema.org/NewCondition,8.000,https://autopart.tn/pieces/33/6PK1235_1.webp,Courroie; tendeur et chaine,courroie-trapezoidale-a-nervures,305,,Courroie GATES référence 6PK1235 — . Pièce de qualité livrée partout en Tunisie.
48166,https://autopart.tn/fiche/courroie-trapezoidale-a-nervures-305/kamoka-185/7014045-48166.html,Courroie KAMOKA 7014045,KAMOKA,48166,7014045,,18.800,TND,En Stock,https://schema.org/NewCondition,8.000,https://autopart.tn/pieces/185/7014045_1.webp,Courroie; tendeur et chaine,courroie-trapezoidale-a-nervures,305,,Courroie KAMOKA référence 7014045 — . Pièce de qualité livrée partout en Tunisie.
49182,https://autopart.tn/fiche/courroie-trapezoidale-a-nervures-305/febi-bilstein-101/28972-49182.html,Courroie FEBI BILSTEIN 28972,FEBI BILSTEIN,49182,28972,,54.300,TND,En Stock,https://schema.org/NewCondition,8.000,https://autopart.tn/pieces/101/28972_1.webp,Courroie; tendeur et chaine,courroie-trapezoidale-a-nervures,305,,Courroie FEBI BILSTEIN référence 28972 — . Pièce de qualité livrée partout en Tunisie.
